Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,74.05999755859375,81.9625015258789,73.1875,77.37750244140625,75.09866333007812,2934370400
2020-02-01,76.07499694824219,81.80500030517578,64.09249877929688,68.33999633789062,66.32730865478516,3019279200
2020-03-01,70.56999969482422,76.0,53.15250015258789,63.5724983215332,61.84667205810547,6280072400
2020-04-01,61.625,73.63249969482422,59.224998474121094,73.44999694824219,71.45602416992188,3265299200
2020-05-01,71.5625,81.05999755859375,71.4625015258789,79.48500061035156,77.32720184326172,2805936000
2020-06-01,79.4375,93.09500122070312,79.30249786376953,91.19999694824219,88.9643325805664,3243375600
2020-07-01,91.27999877929688,106.41500091552734,89.1449966430664,106.26000213623047,103.6551513671875,3020283200
2020-08-01,108.19999694824219,131.0,107.89250183105469,129.0399932861328,125.87672424316406,4070061100
2020-09-01,132.75999450683594,137.97999572753906,103.0999984741211,115.80999755859375,113.17474365234375,3885245100
2020-10-01,117.63999938964844,125.38999938964844,107.72000122070312,108.86000061035156,106.38286590576172,2894666500
2020-11-01,109.11000061035156,121.98999786376953,107.31999969482422,119.05000305175781,116.34099578857422,2123077300
2020-12-01,121.01000213623047,138.7899932861328,120.01000213623047,132.69000244140625,129.89431762695312,2322189600
2021-01-01,133.52000427246094,145.08999633789062,126.37999725341797,131.9600067138672,129.17971801757812,2240262000
2021-02-01,133.75,137.8800048828125,118.38999938964844,121.26000213623047,118.70515441894531,1833855600
2021-03-01,123.75,128.72000122070312,116.20999908447266,122.1500015258789,119.75508117675781,2650418200
2021-04-01,123.66000366210938,137.07000732421875,122.48999786376953,131.4600067138672,128.88255310058594,1889857500
2021-05-01,132.0399932861328,134.07000732421875,122.25,124.61000061035156,122.1668472290039,1711934900
2021-06-01,125.08000183105469,137.41000366210938,123.12999725341797,136.9600067138672,134.50282287597656,1606590000
2021-07-01,136.60000610351562,150.0,135.75999450683594,145.86000061035156,143.2431182861328,1919035100
2021-08-01,146.36000061035156,153.49000549316406,144.5,151.8300018310547,149.10601806640625,1461542800
2021-09-01,152.8300018310547,157.25999450683594,141.27000427246094,141.5,139.16952514648438,1797835100
2021-10-01,141.89999389648438,153.1699981689453,138.27000427246094,149.8000030517578,147.33285522460938,1565079200
2021-11-01,148.99000549316406,165.6999969482422,147.47999572753906,165.3000030517578,162.5775604248047,1691029000
2021-12-01,167.47999572753906,182.1300048828125,157.8000030517578,177.57000732421875,174.90036010742188,2444766700
2022-01-01,177.8300018310547,182.94000244140625,154.6999969482422,174.77999877929688,172.1522979736328,2108446000
2022-02-01,174.00999450683594,176.64999389648438,152.0,165.1199951171875,162.6375274658203,1627516300
2022-03-01,164.6999969482422,179.61000061035156,150.10000610351562,174.61000061035156,172.2039794921875,2180800100
2022-04-01,174.02999877929688,178.49000549316406,155.3800048828125,157.64999389648438,155.4776611328125,1687795600
2022-05-01,156.7100067138672,166.47999572753906,132.61000061035156,148.83999633789062,146.78907775878906,2401040300
2022-06-01,149.89999389648438,151.74000549316406,129.0399932861328,136.72000122070312,135.03421020507812,1749099800
2022-07-01,136.0399932861328,163.6300048828125,135.66000366210938,162.50999450683594,160.50619506835938,1447125400
2022-08-01,161.00999450683594,176.14999389648438,157.13999938964844,157.22000122070312,155.28143310546875,1510239600
2022-09-01,156.63999938964844,164.25999450683594,138.0,138.1999969482422,136.685546875,2084722800
2022-10-01,138.2100067138672,157.5,134.3699951171875,153.33999633789062,151.65963745117188,1868139700
2022-11-01,155.0800018310547,155.4499969482422,134.3800048828125,148.02999877929688,146.40780639648438,1724847700
2022-12-01,148.2100067138672,150.9199981689453,125.87000274658203,129.92999267578125,128.7193603515625,1675731200
2023-01-01,130.27999877929688,147.22999572753906,124.16999816894531,144.2899932861328,142.94554138183594,1443652500
2023-02-01,143.97000122070312,157.3800048828125,141.32000732421875,147.41000366210938,146.03646850585938,1307198900
2023-03-01,146.8300018310547,165.0,143.89999389648438,164.89999389648438,163.61289978027344,1520266600
2023-04-01,164.27000427246094,169.85000610351562,159.77999877929688,169.67999267578125,168.35562133789062,969709700
2023-05-01,169.27999877929688,179.35000610351562,164.30999755859375,177.25,175.86654663085938,1275155500
2023-06-01,177.6999969482422,194.47999572753906,176.92999267578125,193.97000122070312,192.7222442626953,1297101100
2023-07-01,193.77999877929688,198.22999572753906,186.60000610351562,196.4499969482422,195.186279296875,996066400
2023-08-01,196.24000549316406,196.72999572753906,171.9600067138672,187.8699951171875,186.66146850585938,1322439400
2023-09-01,189.49000549316406,189.97999572753906,167.6199951171875,171.2100067138672,170.33836364746094,1337586600
2023-10-01,171.22000122070312,182.33999633789062,165.6699981689453,170.77000427246094,169.90061950683594,1172719600
2023-11-01,171.0,192.92999267578125,170.1199951171875,189.9499969482422,188.9829559326172,1099586100
2023-12-01,190.3300018310547,199.6199951171875,187.4499969482422,192.52999877929688,191.80218505859375,1062774800
